date	place	name	genre	time	price	website
28 Oct 11	Timbre Old School	Sugarlove	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
28 Oct 11	Timbre Substation	53A	Pop	2230-0145	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
28 Oct 11	Wala Wala Café Bar	The Common People	Pop rock	 -	Free + F&B Charges	http://www.imaginings.com.sg/
29 Oct 11	Broun	Michelle Maxine	Pop	1930-2130	Free + F&B Charges	http://broun.sg/
29 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
29 Oct 11	Fort Canning Park	Wildfire Festival: Mutaytor, Wicked Aura, Sixx etc.	Various	1700	$55-$65	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=fire1011
29 Oct 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
29 Oct 11	Hard Rock Café	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrock.com
29 Oct 11	Hard Rock Café Sentosa	Energy	Rock	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
29 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
29 Oct 11	Hood Bar & Café	Opposition Party			Free + F&B Charges	http://www.hoodbarandcafe.com/
29 Oct 11	Singapore Indoor Stadium	Faye Wong 2011 Concert Tour	Chinese; Pop	2000	$120-480	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=faye1011
29 Oct 11	Tab Singapore	The Next Movement	Pop; Soul; R&B	2130	Free + F&B Charges	http://www.tab.com.sg/2011/01/the-next-movement/
29 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
29 Oct 11	Timbre Arts House	The Common People	Pop Rock	2130-0045	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
29 Oct 11	Timbre Old School	Sofia & Fatt	Pop Rock	2115-1230	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
29 Oct 11	Timbre Substation	Goodfellas	Rock	2230-0145	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
29 Oct 11	Wala Wala Café Bar	Shirlyn and the UnXpected	Pop rock	2130	Free + F&B Charges	http://www.imaginings.com.sg/
30 Oct 11	Crazy Elephant	Jam Session	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
30 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
30 Oct 11	Timbre Substation	Timbre Academy All Stars 	Pop	2145-0030	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
30 Oct 11	Wala Wala Café Bar	Jack & Rai	Pop Rock	 -	Free + F&B Charges	http://www.imaginings.com.sg/
31 Oct 11	Balaclava	Wendy & David	Cassic; Jazz	2000	Free + F&B Charges	http://www.imaginings.com.sg/
31 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
31 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
1 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
1 Nov 11	Esplanade Concert Hall	Mozart Madness	Classical	1930	$28-$68	http://www.esplanade.com/whats_on/programme_info/mozart_madness/index.jsp
